Id,pop
454,68.68261197441558
455,64.19582210668246
456,56.791307749446084
457,62.700100050394504
458,47.67440919693844
459,65.11817356248042
460,62.40607538218954
461,46.15979100740802
462,60.247521869375795
463,63.047432523072324
464,55.06869171450595
465,66.21620265844068
466,57.945054631941055
467,61.83452288683474
468,66.95255518197953
469,58.92457001609517
470,59.11854818896169
471,65.0453147751152
472,70.06657423058358
473,68.93471080157828
474,56.43931835203155
475,56.08242765499419
476,58.3321487111519
477,49.82933094935198
478,52.751214157628155
479,66.15716035649324
480,61.734917401533764
481,54.79978213202011
482,46.86957828373316
483,66.46403613743328
484,67.28051770828841
485,53.14737392360249
486,62.941939629440085
487,69.9483617996311
488,67.08318942094898
489,72.29271543444844
490,69.37278213773787
491,61.94155684782273
492,62.158623890713656
493,66.00292183307627
494,68.93552836275553
495,62.2971641222707
496,63.515729732250264
497,47.86279800161933
498,63.105400470875146
499,59.47382978827878
500,64.2431799942455
501,65.24827335348319
502,65.66344486023037
503,64.41814315580082
504,51.55681502152619
505,67.26482691426433
506,68.30152617938252
507,50.797711204755814
508,62.601955218540645
509,62.04328887480407
510,64.34949579683995
511,52.568942112998805
512,69.69119020340582
513,49.5729990379166
514,65.08617434621921
515,68.63964391656424
516,63.207753637031225
517,64.77258137490486
518,70.5737891778909
519,64.46103873264602
520,64.0253294309241
521,60.107547486791866
522,66.97844323228396
523,52.90158111789788
524,68.80464613070852
525,52.39750132054178
526,56.497238765848486
527,66.38168538090012
528,59.38275900606826
529,70.31161372582092
530,69.39608720294936
531,68.07152312177497
532,64.45792782796478
533,59.468920686817846
534,65.95710320392574
535,62.02297590577352
536,47.91278157069562
537,67.6114918823203
538,51.34910313482482
539,57.22886810756226
540,66.1626488432177
541,69.66008403440553
542,46.21896342613805
543,67.02085484933112
544,43.95749248900797
545,63.64298532555309
546,68.4642646631008
547,67.12024700603243
548,69.80750729239362
549,66.9246398830384
550,62.700101019892905
551,65.35933902518406
552,67.21647324530298
553,50.625490206940526
554,52.99864497925379
555,63.81714810219534
556,67.00754843908761
557,53.75045070893762
558,46.12563106519211
559,65.0635970203667
560,68.05697155266292
561,65.2796429165556
562,61.41386617574671
563,66.37482198653964
564,62.7910967595744
565,67.13951052499779
566,63.31416150467995
567,65.67706207042127
